,Sales Rank
2022-12-14,31
2022-12-15,35
2022-12-16,35
2022-12-17,39
2022-12-18,41
2022-12-19,47
2022-12-20,47
2022-12-21,45
2022-12-22,40
2022-12-23,39
2022-12-24,69
2022-12-25,64
2022-12-26,59
2022-12-27,54
2022-12-28,44
2022-12-29,43
2022-12-30,40
2022-12-31,39
2023-01-01,38
2023-01-02,36
2023-01-03,32
2023-01-04,33
2023-01-05,31
2023-01-06,34
2023-01-07,33
2023-01-09,34
2023-01-10,34
2023-01-11,38
2023-01-12,35
2023-01-13,27
2023-01-14,24
2023-01-15,26
2023-01-16,34
2023-01-17,35
2023-01-18,28
2023-01-19,28
2023-01-20,29
2023-01-21,35
2023-01-22,38
2023-01-23,39
2023-01-24,34
2023-01-25,26
2023-01-26,24
2023-01-27,26
2023-01-28,24
2023-01-29,26
2023-01-30,28
2023-01-31,31
2023-02-01,33
2023-02-02,29
2023-02-03,23
2023-02-04,18
2023-02-05,35
2023-02-06,33
2023-02-07,36
2023-02-08,38
2023-02-09,44
2023-02-10,39
2023-02-11,41
2023-02-12,56
2023-02-13,59
2023-02-14,51
2023-02-15,47
2023-02-16,39
2023-02-17,36
2023-02-18,58
2023-02-19,76
2023-02-20,76
2023-02-21,50
2023-02-22,61
2023-02-23,95
2023-02-24,46
2023-02-25,60
2023-02-26,55
2023-02-27,40
2023-02-28,61
2023-03-01,32
2023-03-02,30
2023-03-03,28
2023-03-04,45
2023-03-05,57
2023-03-06,52
2023-03-07,69
2023-03-08,49
2023-03-09,45
2023-03-10,60
2023-03-11,50
2023-03-12,49
2023-03-13,47
2023-03-14,46
2023-03-15,47
2023-03-16,44
2023-03-17,52
2023-03-18,50
2023-03-19,61
2023-03-20,52
2023-03-21,43
2023-03-22,51
2023-03-23,38
2023-03-24,27
2023-03-25,27
2023-03-26,39
2023-03-27,51
2023-03-28,32
2023-03-29,29
2023-03-30,25
2023-03-31,26
2023-04-01,26
2023-04-02,32
2023-04-03,25
2023-04-04,29
2023-04-05,27
2023-04-06,47
2023-04-07,45
2023-04-08,42
2023-04-09,31
2023-04-10,19
2023-04-11,25
2023-04-12,26
2023-04-13,51
2023-04-14,43
2023-04-15,47
2023-04-16,47
2023-04-17,37
2023-04-18,53
2023-04-19,33
2023-04-20,40
2023-04-21,40
2023-04-22,47
2023-04-23,35
2023-04-24,31
2023-04-25,30
2023-04-26,35
2023-04-27,45
2023-04-28,38
2023-04-29,31
2023-04-30,30
2023-05-01,25
2023-05-02,30
2023-05-03,24
2023-05-04,24
2023-05-05,20
2023-05-06,23
2023-05-07,32
2023-05-08,37
2023-05-09,36
2023-05-10,33
2023-05-11,38
2023-05-12,11
2023-05-13,32
2023-05-14,46
2023-05-15,60
2023-05-16,45
2023-05-17,61
2023-05-18,58
2023-05-19,55
2023-05-20,65
2023-05-21,69
2023-05-22,60
2023-05-23,47
2023-05-24,26
2023-05-25,38
2023-05-26,38
2023-05-27,37
2023-05-28,49
2023-05-30,42
2023-05-31,43
2023-06-01,59
2023-06-02,52
2023-06-03,53
2023-06-04,55
2023-06-05,51
2023-06-06,44
2023-06-07,47
2023-06-08,61
2023-06-09,56
2023-06-10,62
2023-06-11,63
2023-06-12,57
2023-06-13,52
2023-06-14,47
2023-06-15,56
2023-06-16,51
2023-06-17,55
2023-06-18,60
2023-06-19,68
2023-06-20,33
2023-06-21,29
2023-06-22,32
2023-06-23,28
2023-06-24,26
2023-06-25,26
2023-06-26,28
2023-06-27,37
2023-06-28,43
2023-06-29,43
2023-06-30,35
2023-07-01,35
2023-07-02,36
2023-07-03,45
2023-07-04,39
2023-07-05,36
2023-07-06,35
2023-07-07,39
2023-07-08,38
2023-07-09,38
2023-07-10,46
2023-07-11,116
2023-07-12,136
2023-07-13,104
2023-07-14,68
2023-07-15,52
2023-07-16,50
2023-07-17,49
2023-07-18,39
2023-07-19,41
2023-07-20,39
2023-07-21,35
2023-07-22,35
2023-07-23,42
2023-07-24,41
2023-07-25,36
2023-07-26,31
2023-07-27,36
2023-07-28,30
2023-07-29,32
2023-07-30,35
2023-07-31,39
2023-08-01,38
2023-08-02,32
2023-08-03,34
2023-08-05,33
2023-08-06,34
2023-08-07,35
2023-08-08,34
2023-08-09,32
2023-08-10,35
