,Sales Rank
2022-12-14,80
2022-12-15,74
2022-12-16,107
2022-12-17,89
2022-12-18,91
2022-12-19,81
2022-12-20,92
2022-12-21,93
2022-12-22,86
2022-12-23,79
2022-12-24,71
2022-12-25,58
2022-12-26,63
2022-12-27,53
2022-12-28,46
2022-12-29,59
2022-12-30,59
2022-12-31,51
2023-01-01,39
2023-01-02,59
2023-01-03,51
2023-01-04,49
2023-01-05,50
2023-01-06,44
2023-01-07,44
2023-01-08,44
2023-01-09,43
2023-01-10,42
2023-01-11,41
2023-01-12,40
2023-01-13,54
2023-01-14,52
2023-01-15,40
2023-01-16,52
2023-01-17,42
2023-01-18,53
2023-01-19,67
2023-01-20,69
2023-01-21,95
2023-01-22,50
2023-01-23,57
2023-01-24,46
2023-01-25,55
2023-01-26,57
2023-01-27,63
2023-01-28,55
2023-01-29,44
2023-01-30,55
2023-01-31,52
2023-02-01,58
2023-02-02,57
2023-02-03,71
2023-02-04,63
2023-02-05,46
2023-02-06,50
2023-02-07,55
2023-02-08,57
2023-02-09,64
2023-02-10,70
2023-02-11,80
2023-02-12,50
2023-02-13,30
2023-02-14,44
2023-02-15,45
2023-02-16,54
2023-02-17,62
2023-02-18,46
2023-02-19,38
2023-02-20,47
2023-02-21,73
2023-02-22,63
2023-02-23,142
2023-02-24,228
2023-02-25,260
2023-02-26,48
2023-02-27,65
2023-02-28,57
2023-03-01,55
2023-03-02,57
2023-03-03,63
2023-03-04,56
2023-03-05,41
2023-03-06,40
2023-03-07,39
2023-03-08,45
2023-03-09,48
2023-03-10,61
2023-03-11,63
2023-03-12,41
2023-03-13,50
2023-03-14,51
2023-03-15,42
2023-03-16,43
2023-03-17,45
2023-03-18,43
2023-03-19,36
2023-03-20,44
2023-03-21,49
2023-03-22,40
2023-03-23,66
2023-03-24,65
2023-03-25,64
2023-03-26,44
2023-03-27,62
2023-03-28,51
2023-03-29,50
2023-03-30,46
2023-03-31,56
2023-04-01,53
2023-04-02,41
2023-04-03,44
2023-04-04,58
2023-04-05,56
2023-04-06,53
2023-04-07,54
2023-04-08,87
2023-04-09,50
2023-04-10,63
2023-04-11,64
2023-04-12,54
2023-04-13,52
2023-04-14,56
2023-04-15,36
2023-04-16,28
2023-04-17,54
2023-04-18,44
2023-04-19,43
2023-04-20,32
2023-04-21,56
2023-04-22,42
2023-04-23,42
2023-04-24,54
2023-04-25,49
2023-04-26,40
2023-04-27,48
2023-04-28,65
2023-04-29,61
2023-04-30,48
2023-05-01,62
2023-05-02,35
2023-05-03,39
2023-05-04,61
2023-05-05,67
2023-05-06,54
2023-05-07,39
2023-05-08,49
2023-05-09,46
2023-05-10,43
2023-05-11,43
2023-05-12,59
2023-05-13,57
2023-05-14,40
2023-05-15,44
2023-05-16,47
2023-05-17,42
2023-05-18,42
2023-05-19,63
2023-05-20,59
2023-05-21,36
2023-05-22,48
2023-05-23,45
2023-05-24,42
2023-05-25,62
2023-05-26,61
2023-05-27,57
2023-05-28,63
2023-05-30,53
2023-05-31,45
2023-06-01,42
2023-06-02,54
2023-06-03,57
2023-06-04,44
2023-06-05,48
2023-06-06,43
2023-06-07,40
2023-06-08,54
2023-06-09,74
2023-06-10,65
2023-06-11,38
2023-06-12,44
2023-06-14,53
2023-06-15,43
2023-06-16,2995
2023-06-17,40
2023-06-18,34
2023-06-19,54
2023-06-20,45
2023-06-21,39
2023-06-22,41
2023-06-23,44
2023-06-24,58
2023-06-25,61
2023-06-26,72
2023-06-27,153
2023-06-28,583
2023-06-29,101
2023-06-30,65
2023-07-01,99
2023-07-02,65
2023-07-03,109
2023-07-04,4705
2023-07-05,4685
2023-07-06,3869
2023-07-07,87
2023-07-08,81
2023-07-09,62
2023-07-10,69
2023-07-11,44
2023-07-12,20
2023-07-13,23
2023-07-14,32
2023-07-15,33
2023-07-16,42
2023-07-17,58
2023-07-18,35
2023-07-19,44
2023-07-20,38
2023-07-21,72
2023-07-22,54
2023-07-23,50
2023-07-24,63
2023-07-25,61
2023-07-26,57
2023-07-27,57
2023-07-28,61
2023-07-29,53
2023-07-30,38
2023-07-31,34
2023-08-01,48
2023-08-02,48
2023-08-03,53
2023-08-04,54
2023-08-05,60
2023-08-06,74
2023-08-07,55
2023-08-08,58
2023-08-09,46
2023-08-10,46
2023-08-11,79
2023-08-12,71
2023-08-13,36
2023-08-14,44
2023-08-15,40
2023-08-16,44
2023-08-17,43
2023-08-18,48
2023-08-19,33
2023-08-20,30
2023-08-21,33
2023-08-22,33
2023-08-23,35
2023-08-24,43
2023-08-25,54
2023-08-26,114
2023-08-27,155
2023-08-28,199
2023-08-29,43
2023-08-30,77
2023-08-31,78
2023-09-01,69
2023-09-02,53
2023-09-03,38
2023-09-04,42
2023-09-05,45
2023-09-06,69
2023-09-07,80
2023-09-08,120
2023-09-09,94
2023-09-10,91
2023-09-11,119
2023-09-12,66
2023-09-13,57
2023-09-14,80
2023-09-15,82
2023-09-16,70
2023-09-17,81
2023-09-18,99
2023-09-19,87
2023-09-20,65
2023-09-21,60
2023-09-22,101
2023-09-23,109
2023-09-24,82
2023-09-25,71
2023-09-26,58
2023-09-27,77
2023-09-28,87
2023-09-29,76
2023-09-30,63
2023-10-01,46
2023-10-02,74
2023-10-03,60
2023-10-04,56
2023-10-05,62
2023-10-06,60
2023-10-07,67
2023-10-08,54
2023-10-09,62
2023-10-10,23
2023-10-11,15
2023-10-12,15
2023-10-13,30
2023-10-14,44
2023-10-15,47
2023-10-16,55
2023-10-17,52
2023-10-18,44
2023-10-19,53
2023-10-20,65
2023-10-21,49
2023-10-22,37
2023-10-23,59
2023-10-24,51
2023-10-25,67
2023-10-26,67
2023-10-27,137
2023-10-28,4223
2023-10-29,3648
2023-10-30,114
2023-10-31,100
2023-11-01,108
2023-11-02,93
2023-11-03,161
2023-11-04,152
2023-11-05,94
2023-11-06,109
2023-11-07,81
2023-11-08,78
2023-11-09,107
2023-11-10,134
2023-11-11,95
2023-11-12,62
2023-11-13,79
2023-11-14,83
2023-11-15,85
2023-11-16,153
2023-11-17,158
2023-11-18,70
2023-11-19,57
2023-11-20,65
2023-11-21,57
2023-11-22,67
2023-11-23,75
2023-11-24,92
2023-11-25,87
2023-11-26,97
2023-11-27,126
2023-11-28,116
2023-11-29,115
2023-11-30,102
2023-12-01,111
2023-12-02,117
2023-12-03,109
2023-12-04,140
2023-12-05,98
2023-12-06,97
2023-12-07,99
2023-12-08,146
2023-12-09,156
2023-12-10,135
2023-12-11,168
2023-12-12,135
2023-12-13,128
2023-12-14,106
2023-12-15,146
2023-12-16,151
2023-12-17,117
2023-12-18,120
2023-12-19,118
2023-12-20,114
2023-12-21,114
2023-12-22,163
2023-12-23,127
2023-12-24,78
2023-12-25,98
2023-12-26,88
2023-12-27,94
2023-12-28,84
2023-12-29,107
2023-12-30,101
2023-12-31,64
2024-01-01,96
2024-01-02,85
2024-01-03,90
2024-01-04,75
2024-01-05,90
2024-01-06,83
